id,title,type,release_year,age_certification,runtime,genres,production_countries,imdb_score
tm320785,The Mars Generation,MOVIE,2017,Not Availavle,97,['documentation'],['US'],6.5
tm314939,Kalushi : The Story of Solomon Mahlangu,MOVIE,2017,Not Availavle,106,"['thriller', 'drama']",['ZA'],6.5
tm345767,The Maus,MOVIE,2017,Not Availavle,90,"['fantasy', 'horror', 'drama', 'european']",['ES'],4.7
tm405901,Family Blood,MOVIE,2018,Not Availavle,92,"['thriller', 'horror', 'drama']",['US'],4.2
tm445456,Pihu,MOVIE,2018,G,91,"['thriller', 'drama', 'family']",['IN'],6.7
tm322200,Superlopez,MOVIE,2018,G,108,"['comedy', 'scifi', 'action', 'european']",['ES'],5.4
tm358813,Judd Apatow: The Return,MOVIE,2017,Not Availavle,69,['comedy'],['US'],6.2
tm424888,Armed to the Teeth,MOVIE,2018,Not Availavle,105,"['documentation', 'crime', 'thriller']",['MX'],7.9
tm323195,Sarah Silverman: A Speck of Dust,MOVIE,2017,Not Availavle,71,"['comedy', 'documentation']",['US'],6.9
tm244277,Pa Paandi,MOVIE,2017,Not Availavle,125,"['comedy', 'action', 'romance', 'drama', 'family']",['IN'],7.4
tm314295,Nobody Speak: Trials of the Free Press,MOVIE,2017,Not Availavle,95,"['documentation', 'european']","['US', 'NL']",6.4
tm368441,Aapla Manus,MOVIE,2018,Not Availavle,132,"['drama', 'thriller']",['IN'],7.0
tm325433,Dismissal,MOVIE,2017,Not Availavle,90,['comedy'],"['AR', 'ES']",5.0
tm444799,Christmas Catch,MOVIE,2018,Not Availavle,80,"['romance', 'comedy', 'crime']",['CA'],5.3
tm359030,F.R.E.D.I.,MOVIE,2018,Not Availavle,89,"['scifi', 'family']",['XX'],4.9
tm233345,Love Beats Rhymes,MOVIE,2017,R,105,"['music', 'drama']",['US'],5.3
ts84985,Robozuna,SHOW,2018,Not Availavle,23,['animation'],['GB'],6.7
tm309115,Naam Shabana,MOVIE,2017,Not Availavle,147,"['thriller', 'action', 'drama']",['IN'],6.2
tm358242,Brian Regan: Nunchucks and Flamethrowers,MOVIE,2017,Not Availavle,61,"['comedy', 'documentation']",['US'],6.3
tm320206,#realityhigh,MOVIE,2017,Not Availavle,99,"['comedy', 'drama', 'romance']",['US'],5.1
ts80671,We Speak Dance,SHOW,2018,TV-MA,22,['documentation'],['US'],7.4
tm358239,DeRay Davis: How to Act Black,MOVIE,2017,PG,66,['comedy'],['US'],6.1
tm351688,Def Comedy Jam 25,MOVIE,2017,Not Availavle,81,"['comedy', 'documentation']",['US'],6.6
tm362264,The Gift,MOVIE,2017,Not Availavle,85,['drama'],['TZ'],8.0
ts83429,Take My Brother Away,SHOW,2018,Not Availavle,46,"['family', 'comedy', 'drama']",[],6.7
tm463827,Paranormal Investigation,MOVIE,2018,Not Availavle,92,"['thriller', 'horror']",['FR'],3.7
ts75357,LEGO Elves: Secrets of Elvendale,SHOW,2017,TV-Y7,24,"['scifi', 'animation', 'fantasy']",['US'],6.8
ts85217,Motown Magic,SHOW,2018,TV-Y,15,"['animation', 'comedy', 'family', 'fantasy', 'music']",['US'],7.9
tm421125,The Suit,MOVIE,2018,Not Availavle,96,"['comedy', 'action', 'drama']",['EG'],5.3
tm311283,Amy Schumer: The Leather Special,MOVIE,2017,Not Availavle,57,['comedy'],['US'],3.1
ts82192,Samantha!,SHOW,2018,TV-MA,28,['comedy'],['BR'],6.5
tm275004,Bon Cop Bad Cop 2,MOVIE,2017,Not Availavle,126,"['crime', 'comedy', 'action']",['CA'],6.6
tm358949,A Very Country Christmas,MOVIE,2017,G,83,"['drama', 'romance', 'family', 'comedy']","['CA', 'US']",6.0
ts85953,Paprika,SHOW,2018,TV-Y,13,"['family', 'animation']",['US'],7.9
tm418870,Close Enemies,MOVIE,2018,Not Availavle,111,"['thriller', 'drama', 'european']","['FR', 'BE']",6.4
tm413955,A Fortunate Man,MOVIE,2018,Not Availavle,162,"['drama', 'romance', 'european']",['DK'],7.2
tm348073,Pup Star: Better 2Gether,MOVIE,2017,G,90,['family'],['US'],4.3
tm359658,The 3rd Eye,MOVIE,2017,Not Availavle,107,"['horror', 'thriller', 'animation', 'drama', 'fantasy', 'european']",['ID'],5.1
tm357272,Barbra: The Music ... The Mem'ries ... The Magic!,MOVIE,2017,Not Availavle,108,"['documentation', 'music']",['US'],7.5
ts84167,Age of Rebellion,SHOW,2018,TV-MA,72,"['crime', 'drama', 'romance']",['TW'],8.6
tm408892,Unbridled,MOVIE,2018,Not Availavle,96,"['thriller', 'european']","['IT', 'ES']",5.0
tm371619,Sabrina,MOVIE,2018,Not Availavle,98,"['horror', 'thriller']","['ID', 'MY', 'SG']",4.1
tm337040,Maz Jobrani: Immigrant,MOVIE,2017,Not Availavle,67,"['comedy', 'documentation']",['US'],6.7
tm361505,48 Christmas Wishes,MOVIE,2017,Not Availavle,84,"['family', 'comedy', 'fantasy']",['CA'],3.9
ts86279,Nailed It! Holiday!,SHOW,2018,TV-PG,33,['reality'],['US'],7.7
tm417111,How to Get Over a Breakup,MOVIE,2018,Not Availavle,104,['comedy'],['PE'],6.1
tm429984,Pachamama,MOVIE,2018,PG,72,"['fantasy', 'family', 'animation', 'european']","['FR', 'LU', 'CA']",6.8
tm307551,Katherine Ryan: In Trouble,MOVIE,2017,Not Availavle,63,['comedy'],['GB'],7.0
ts265844,#ABtalks,SHOW,2018,TV-PG,68,[],[],9.6
ts77219,Part-Time Idol,SHOW,2017,TV-14,40,"['drama', 'family', 'music', 'comedy']",['KR'],6.7
ts103638,Standup and Away! with Brian Regan,SHOW,2018,TV-PG,25,['comedy'],['US'],5.7
tm449262,Ascharya Fuck It,MOVIE,2018,Not Availavle,90,"['thriller', 'drama', 'romance']",['IN'],5.1
ts76159,Super Monsters,SHOW,2017,TV-Y,13,"['animation', 'comedy', 'family', 'horror']",['CA'],6.2
tm412489,Dear Son,MOVIE,2018,Not Availavle,100,['drama'],"['FR', 'QA', 'TN', 'BE']",6.5
tm407318,Sofía Niño de Rivera: Natural Selection,MOVIE,2018,Not Availavle,62,['comedy'],['MX'],6.9
tm429382,Nappily Ever After,MOVIE,2018,NC-17,98,"['comedy', 'romance', 'drama']",['US'],6.4
