Country Code,City,Location,Coordinates,Pollutant,Source Name,Unit,Value,Last Updated
FR,Seine-Maritime,FR05010,"49.5289242164163, 0.35873322556029",SO2,EEA France,µg/m³,1.9,2024-01-01T05:30:00+05:30
GB,Lullington Heath,Lullington Heath,"50.7937, 0.18125",SO2,DEFRA,µg/m³,1.0,2024-03-11T13:30:00+05:30
GB,Cardiff,Cardiff Centre,"51.48178, -3.17625",PM10,DEFRA,µg/m³,13.0,2024-03-11T13:30:00+05:30
GB,Plymouth,Plymouth Centre,"50.37167, -4.142361",NO2,DEFRA,µg/m³,40.0,2024-03-11T13:30:00+05:30
GB,Eastbourne,Eastbourne,"50.805778, 0.271611",O3,DEFRA,µg/m³,28.0,2024-03-11T13:30:00+05:30
GB,York,York Fishergate,"53.951889, -1.075861",NO2,DEFRA,µg/m³,42.0,2024-03-11T13:30:00+05:30
GB,West Midlands,Birmingham A4540 Roadside,"52.47609, -1.875024",O3,DEFRA,µg/m³,44.0,2024-03-11T13:30:00+05:30
GB,London,London Harlington,"51.48879, -0.441614",O3,DEFRA,µg/m³,42.0,2024-03-11T13:30:00+05:30
GB,Storrington,Storrington Roadside,"50.916932, -0.449548",PM2.5,DEFRA,µg/m³,62.0,2017-01-24T17:30:00+05:30
GB,Port Talbot,Port Talbot Margam,"51.58395, -3.770822",PM2.5,DEFRA,µg/m³,9.0,2024-03-11T13:30:00+05:30
GB,Leeds,Leeds Headingley Kerbside,"53.819972, -1.5763609999999997",PM2.5,DEFRA,µg/m³,25.0,2024-03-11T13:30:00+05:30
GB,Manchester,Manchester Piccadilly,"53.48152, -2.237881",PM2.5,DEFRA,µg/m³,21.0,2024-03-11T13:30:00+05:30
GB,Lewisham,Lewisham - Deptford,"51.4795312838203, -0.0252606031340197",NO2,London Air Quality Network,µg/m³,47.3,2024-03-07T03:30:00+05:30
GB,Bexley,Greenwich - Falconwood,"51.4563, 0.085606",PM2.5,London Air Quality Network,µg/m³,32.7,2024-03-07T03:30:00+05:30
GB,Richmond,Richmond Upon Thames - Castelnau,"51.480189, -0.237335",PM10,London Air Quality Network,µg/m³,14.3,2024-03-07T02:30:00+05:30
GB,Greenwich,Greenwich - Blackheath,"51.472504, -0.012381",NO2,London Air Quality Network,µg/m³,52.4,2024-03-07T02:30:00+05:30
GB,Greenwich,Greenwich - John Harrison Way,"51.4937746695818, 0.0107796237032558",NO2,London Air Quality Network,µg/m³,42.6,2024-03-06T23:30:00+05:30
GB,Reading,Reading - New Town,"51.4529847075166, -0.944461432664066",PM10,London Air Quality Network,µg/m³,9.0,2023-02-16T05:30:00+05:30
GR,monitoring network of Athens,NET-GR016A,"37.9841, 23.705153",CO,EEA Greece,µg/m³,1000.0,2024-03-10T10:30:00+05:30
GR,monitoring network of Athens,NET-GR016A,"38.375295, 23.110302",O3,EEA Greece,µg/m³,28.0,2024-03-10T13:30:00+05:30
GR,ΑΤΤΙΚΗ,GR0035A,"38.06963348, 23.77688599",NO2,EEA Greece,µg/m³,5.0,2021-09-07T14:30:00+05:30
GR,ΑΤΤΙΚΗ,GR0030A,"37.9432869, 23.64751053",NO,EEA Greece,µg/m³,60.0,2024-01-30T00:30:00+05:30
GR,ΚΕΝΤΡΙΚΗ ΜΑΚΕΔΟΝΙΑ,GR0046A,"40.65784454, 22.80236626",NO,EEA Greece,µg/m³,1.0,2024-01-30T00:30:00+05:30
GR,ΚΕΝΤΡΙΚΗ ΜΑΚΕΔΟΝΙΑ,GR0020A,"40.67354965, 22.89343834",O3,EEA Greece,µg/m³,48.0,2024-01-29T16:30:00+05:30
HK,Causeway Bay,Causeway Bay,"22.28, 114.185",SO2,Hong Kong,µg/m³,2.5,2023-05-31T05:30:00+05:30
HK,New Territories,Tsuen Wan,"22.3716666666667, 114.114444444444",NO2,Hong Kong,µg/m³,94.0,2023-05-31T05:30:00+05:30
HR,Državna mreža za trajno praćenje kvalitete zraka,HR_DOC_TYPE_D_NET_58,"46.282911111111105, 16.363802777777778",NO2,EEA Croatia,µg/m³,5.8,2024-02-16T19:30:00+05:30
HR,Državna mreža za trajno praćenje kvalitete zraka,HR_DOC_TYPE_D_NET_58,"45.59348055555556, 14.630463888888888",O3,EEA Croatia,µg/m³,93.8,2024-02-16T19:30:00+05:30
HR,Državna mreža za trajno praćenje kvalitete zraka,HR_DOC_TYPE_D_NET_58,"44.02109444444444, 15.516111111111112",PM2.5,EEA Croatia,µg/m³,6.8,2024-02-16T19:30:00+05:30
HR,Državna mreža za trajno praćenje kvalitete zraka,HR_DOC_TYPE_D_NET_58,"44.89933333333334, 15.609777777777776",PM2.5,EEA Croatia,µg/m³,5.4,2024-02-16T19:30:00+05:30
HU,Miskolc Búza tér,Miskolc Búza tér,"48.10699, 20.79001",PM10,hungary-nms,µg/m³,30.0,2024-03-21T01:30:00+05:30
HU,Nyírjes,Nyírjes,"47.899660000000004, 19.946894",SO2,hungary-nms,µg/m³,9.8,2024-03-21T01:30:00+05:30
HU,Dorog,Dorog,"47.72443, 18.73681",NO2,hungary-nms,µg/m³,18.9,2024-03-21T01:30:00+05:30
HU,Százhalombatta 2 Sportpálya,Százhalombatta 2 Sportpálya,"47.32655, 18.93296",CO,hungary-nms,µg/m³,618.0,2024-03-21T01:30:00+05:30
HU,Budapest Kőrakás park,Budapest Kőrakás park,"47.544291, 19.144177",NO2,hungary-nms,µg/m³,66.3,2024-03-21T01:30:00+05:30
HU,Miskolc Lavotta,Miskolc Lavotta,"48.05117, 20.79148",SO2,hungary-nms,µg/m³,2.5,2024-03-21T01:30:00+05:30
HU,Oszlár,Oszlár,"47.87345, 21.02686",CO,hungary-nms,µg/m³,215.0,2024-03-21T01:30:00+05:30
HU,Pécs Boszorkány u.,Pécs Boszorkány u.,"46.08031, 18.21117",PM10,hungary-nms,µg/m³,17.0,2024-03-21T01:30:00+05:30
HU,Hungarian Air Quality Network,NET-HU004A,"48.247221999466746, 20.616403000000002",O3,EEA Hungary,µg/m³,21.21709,2024-03-11T17:30:00+05:30
HU,Hungarian Air Quality Network,NET-HU004A,"47.30666699946499, 18.920003000000005",CO,EEA Hungary,µg/m³,505.3964,2021-01-22T15:30:00+05:30
